Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
,2041,70,78,,,,,,,,ACESSO,AV,OTAVIANO,A.DE,"LIMA,PX",PTE,DA,CASA,"VERDE,A",SEN/C,B,,,,,,,
,2042,70,78,,,,,,,,AV,EMB,MACEDO,"SOARES,PROXIMO,PONTE",NOVA,"FEPASA,C",B/A.SENNA,,,,,,,,,,,
,2043,70,78,,,,,,,,AV,CDSSA,ELIZABETH,"ROBIANO,180",M,APOS,R,"JACIRENDI,C",B/A,S,,,,,,,,
,2044,70,78,,,,,,,,AV,MORVAN,DIAS,DE,"FIGUEIREDO,PROXIMO",N,"5479,A",SEN/C,BRANCO,,,,,,,,,
,2045,60,68,,,,,,,,AV,"MORUMBI,B/C,PROXIMO",PRACA,DO,CREPUSCULO,,,,,,,,,,,,,
,2046,70,78,,,,,,,,JACU,"PESSEGO/N.TRABALHADORES,PX",R,"FCO.SAL.MALT.JR,S.MA/S.MI",,,,,,,,,,,,,,
,2047,70,78,,,,,,,,JACU,"PESSEGO/N.TRABALHADORES,OP",R,"FCO.SAL.MALT.JR,S.MI/S.MA",,,,,,,,,,,,,,
,2048,60,68,,,,,,,,AV,VEREADOR,ABEL,"FERREIRA,B/C,PROXIMO",R,SANTIAGO,RODRIGUES,,,,,,,,,,,
,2049,60,68,,,,,,,,AV,VEREADOR,ABEL,"FERREIRA,C/B,PROXIMO",N,334,,,,,,,,,,,,
,2050,60,68,,,,,,,,ESTRADA,DO,"IGUATEMI,B/C,OPOSTO",R,NASCER,DO,SOL,,,,,,,,,,,
,2051,60,68,,,,,,,,ESTRADA,DO,"IGUATEMI,C/B,PROXIMO",R,NASCER,DO,SOL,,,,,,,,,,,
,2052,70,78,,,,,,,,AV,DR,FRANCISCO,"MESQUITA,DEPOIS",VD,GRANDE,S,"PAULO,SP/S",ANDRE,,,,,,,,,
,2053,70,78,,,,,,,,AV,DR,FRANCISCO,"MESQUITA,ANTES,VD",GRANDE,S,"PAULO,S",ANDRE/SP,,,,,,,,,,
,2054,70,78,,,,,,,,AV,ENG,CAETANO,"ALVARES,CENTRO/BAIRRO,FRENTE",AO,N,5570,,,,,,,,,,,
,2055,70,78,,,,,,,,AV,ENG,CAETANO,"ALVARES,BAIRRO/CENTRO,OPOSTO",AO,N,5570,,,,,,,,,,,
,2056,50,58,,,,,,,,AV,MARECHAL,"TITO,C/B,PROXIMO,ESTRADA",DOM,JOAO,NERY,,,,,,,,,,,,
,2057,50,58,,,,,,,,AV,MARECHAL,"TITO,B/C,PROXIMO,ESTRADA",DOM,JOAO,NERY,,,,,,,,,,,,
,2058,40,48,,,,,,,,R,SABBADO,D,"ANGELO,BAIRRO/CENTRO,EM",FRENTE,AO,N,276,,,,,,,,,,
,2059,50,58,,,,,,,,AV,MARECHAL,"TITO,C/B,ENTRE",R,ITAJUIBE,E,AV,ITAIM,,,,,,,,,,
,2060,50,58,,,,,,,,AV,MARECHAL,"TITO,B/C,ENTRE",R,ITAJUIBE,E,AV,ITAIM,,,,,,,,,,
,2061,60,68,,,,,,,,AV,S,"MIGUEL,B/C,ENTRE",AV,G.CAR.PINTO,(TIQUATIRA),E,R,S,CELSO,,,,,,,,
,2062,60,68,,,,,,,,AV,S,"MIGUEL,C/B,ENTRE",AV,G.CAR.PINTO,(TIQUATIRA),E,R,S,CELSO,,,,,,,,
,2063,60,68,,,,,,,,AV,"ITAQUERA,C/B,PROXIMO,R",GUIOMAR,ATALIBA,PENTEADO,,,,,,,,,,,,,
,2064,60,68,,,,,,,,AV,"ITAQUERA,B/C,PROXIMO,AV",SILVIO,TORRES,,,,,,,,,,,,,,
,2065,60,68,,,,,,,,ESTR,DE,"ITAPECERICA,CENTRO/BAIRRO,FRENTE",AO,NUMERO,1814,,,,,,,,,,,,
,2066,60,68,,,,,,,,ESTR,DE,"ITAPECERICA,B/C,PROXIMO",R,MIGUEL,FRANCO,DE,ARAUJO,,,,,,,,,,
,2067,60,68,,,,,,,,ESTR,DE,"ITAPECERICA,B/C,PROXIMO",AO,N,3557,,,,,,,,,,,,
,2068,60,68,,,,,,,,ESTR,DE,"ITAPECERICA,C/B,FRENTE",AO,N,3746,,,,,,,,,,,,
,2069,60,68,,,,,,,,AV,ROBERT,"KENNEDY,B/C,PROXIMO",AV.,BERTA,WAITMAN,,,,,,,,,,,,
,2070,60,68,,,,,,,,AV,ROBERT,"KENNEDY,C/B,",OPOSTOE,PROX,A,AV.,BERTA,WAITMAN,,,,,,,,,
,2071,70,78,,,,,,,,AV,CIDADE,"JARDIM,C/B,PROXIMO",R,FRANZ,SCHUBERT,,,,,,,,,,,,
,2072,70,78,,,,,,,,AV,CIDADE,"JARDIM,B/C,OPOSTO",E,PROXIMO,R,FRANZ,SCHUBERT,,,,,,,,,,
,2073,60,68,,,,,,,,AV,INAJAR,DE,"SOUZA,B/C,PX",AV,ARQUITET.ROBERTO,AFLALO,,,,,,,,,,,
,2074,60,68,,,,,,,,AV,INAJAR,DE,"SOUZA,C/B,PX",ACES.P/,R,GEVASIO,L.REBELO,,,,,,,,,,
,2075,70,78,,,,,,,,AV,"E.POLITECNICA,",OP,AV,JOSE,DE,ARAUJO,"RIBEIRO,M.PINH/R.TAV",,,,,,,,,,
,2076,70,78,,,,,,,,AV,"E.POLITECNICA,PX",AV,JOSE,DE,ARAUJO,"RIBEIRO,R.TAV/M.PINH",,,,,,,,,,,
,2077,70,78,,,,,,,,AV,JORNAL.R.MARINHO(AV,A.ESPRAIADA)PX,R,"B.PEIXOTO,M.PINH/JAB",,,,,,,,,,,,,
,2078,70,78,,,,,,,,AV,JORNAL.R.MARINHO(AV,A.ESPRAIADA)PX,R,"NIAGARA,JAB/M.PINH",,,,,,,,,,,,,
,2079,70,78,,,,,,,,AV,LINEU,DE,PAULA,"MACHADO,PROXIMO",N,"782,USP/T.",JANIO,QUADROS,,,,,,,,,
,2080,70,78,,,,,,,,AV,LINEU,DE,PAULA,"MACHADO,OPOSTO",N,"506,T.JANIO",QUADROS/USP,,,,,,,,,,
,2081,60,68,,,,,,,,AV,VEREADOR,JOAO,DE,"LUCA,DIADEMA/MAR.PINHEIROS,PROXIMO",N,221,,,,,,,,,,,
,2082,60,68,,,,,,,,AV,VEREADOR,JOAO,DE,"LUCA,MAR.PINHEIROS/DIADEMA,PROXIMO",N,550,,,,,,,,,,,
,2083,60,68,,,,,,,,AV,INAJAR,DE,"SOUZA,FRENTE",AO,NUMERO,"1000,CENTRO/BAIRRO",,,,,,,,,,,
,2084,60,68,,,,,,,,AV,INAJAR,DE,"SOUZA,FRENTE",AO,NUMERO,"1007,BAIRRO/CENTRO",,,,,,,,,,,
,2085,60,68,,,,,,,,AV,DO,"IMPERADOR,PX",R,F.DE,"CABOCLO,(AV",AG.D.HAIA/AV,P.DO,RIO),,,,,,,,,
,2086,60,68,,,,,,,,AV,DO,"IMPERADOR,PX",R,"MAN.A.DAROCHA,(AV",A.D.HAIA/AV,P.D.RIO),,,,,,,,,,,
,2087,60,68,,,,,,,,AV,DO,"IMPERADOR,PX",R,FLOR,"DASALMAS,(AV",A.D.HAIA/AV,P.D.RIO),,,,,,,,,,
,2088,60,68,,,,,,,,AV,DO,"IMPERADOR,PX",R,DAS,AMENDOEIRAS(AV,P.D.RIO/AV,A.D.HAIA),,,,,,,,,,
,2089,60,68,,,,,,,,AV,DO,"IMPERADOR,SENT.AV",P.DO,RIO/AV,A.DE,"HAIA,OPOSTO",N,3009,,,,,,,,,
,2090,60,68,,,,,,,,AV,DO,"IMPERADOR,SENT.AV",P.DO,RIO/AV,A.DE,"HAIA,OPOSTO",N,4580,,,,,,,,,
