Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
,2172,60,68,,,,,,,,R,MONTE,"PASCAL,PROXIMO",A,PRACA,"MACOM,SENTIDO",BAIRRO/CENTRO,,,,,,,,,,,
,2173,60,68,,,,,,,,R,MONTE,"PASCAL,PX",A,PRACA,DO,"ACEMISTA,SENTIDO",CENTRO/BAIRRO,,,,,,,,,,
,2174,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,PX",A,R,CARMO,DO,RIO,"VERDE,INTERL/C.BCO",,,,,,,,
,2175,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS(MP),PROXIMO",AO,N,"22532,CAST.BCO/INTERL.",,,,,,,,,,,
,2176,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS(MP),PROXIMO",AO,N,"21612,CAST.BCO/INTERL.",,,,,,,,,,,
,2177,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS(MP),PROXIMO",AO,N,"22777,INTERL/CAST.BCO.",,,,,,,,,,,
,2178,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS(MP),PX",R,DR,ALVARO,G.DOS,"REIS,INT/C.B.",,,,,,,,,
,2179,50,58,,,,,,,,R,"LOEFGREEN,PROXIMO",A,R,DOUTOR,"LUNA,VILA",MARIANA/IPIRANGA,,,,,,,,,,,
,2180,50,58,,,,,,,,VD,DR,EDUARDO,"SAIGH,PX",A,R,"CORREDEIRA,IPIRANGA/VILA",MARIANA,,,,,,,,,,
,2181,50,58,,,,,,,,R,MAURICIO,"F.KLABIN,PX",R,DR,LOPES,DE,"ALMEIDA,VL",MARIANA/IPIR,,,,,,,,,
,2182,70,78,,,,,,,,AV,DR,RICARDO,"JAFET,PX",A,R,PADRE,"MACHADO,IPIRANGA/IMIGRANTES",,,,,,,,,,
,2183,70,78,,,,,,,,AV,DR,RICARDO,"JAFET,PX",A,R,PROFA,GUARACIABA,"M.TRINDADE,IM/IP",,,,,,,,,
,2184,70,78,,,,,,,,AV,PROF,ABRAAO,DE,"MORAIS,PX",R,"IBIRAREMA,IPIRANGA/IMIGRANTES",,,,,,,,,,,
,2185,70,78,,,,,,,,AV,PROF,ABRAAO,DE,"MORAIS,PX",R,"IBIRAREMA,IMIGRANTES/IPIRANGA",,,,,,,,,,,
,2186,60,68,,,,,,,,AV,ELISEU,DE,"ALMEIDA,PROXIMO",A,R,GARCIA,"LORCA,BAIRRO/CENTRO",,,,,,,,,,
,2187,60,68,,,,,,,,AV,ELISEU,DE,"ALMEIDA,PX",E,OP,A,R,LEVON,"APOVIAN,CENTRO/BAIRRO",,,,,,,,
,2188,60,68,,,,,,,,AV,"PIRAJUSSARA,PROXIMO",A,R,BARTOLOME,"CARDUCHO,CENTRO/BAIRRO",,,,,,,,,,,,
,2189,60,68,,,,,,,,AV,"PIRAJUSSARA,PROXIMO",R,PADRE,ANTONIO,"LINK,BAIRRO/CENTRO",,,,,,,,,,,,
,2190,70,78,,,,,,,,AV,"ARICANDUVA(EXPRESSA),PX",R,"RUPIARA,MARG",TIETE/SAO,MATEUS,,,,,,,,,,,,
,2191,60,68,,,,,,,,AV,ARICANDUVA(VIA,"LOCAL),PX","R.RUPIARA,MARG",TIETE/SAO,MATEUS,,,,,,,,,,,,
,2192,70,78,,,,,,,,AV,"ARICANDUVA(EXPRESSA),PX",R,DR,ALENCAR,"GUIMARAES,M.T./S.M.",,,,,,,,,,,,
,2193,60,68,,,,,,,,AV,ARICANDUVA(VIA,"LOCAL),PX",RDR,ALENCAR,"GUIMARAES,M.T./S.M.",,,,,,,,,,,,
,2194,70,78,,,,,,,,AV,"ARICANDUVA(EXPRESSA),PX",R,MIN,CARLOS,"MAXIMILIANO,S.M/M.T.",,,,,,,,,,,,
,2195,60,68,,,,,,,,AV,ARICANDUVA(VIA,"LOCAL),PX",RMIN,CARLOS,"MAXIMILIANO,S.M/M.T",,,,,,,,,,,,
,2196,60,68,,,,,,,,AV,VER.JOAO,DE,"LUCA,PX",E,OPOSTO,R,SALVADOR,"IACONA,M.P/DIAD.",,,,,,,,,
,2197,60,68,,,,,,,,AV,NOSSA,SENHORA,DO,"SABARA,PXE",OP,R,MANUEL,JOSE,"MACHADO,C/B",,,,,,,,
,2198,60,68,,,,,,,,AV,NOSSA,SENHORA,DO,"SABARA,PROXIMO",A,R,"PACARITAMBO,C/B",,,,,,,,,,
,2199,60,68,,,,,,,,AV,NOSSA,SENHORA,DO,"SABARA,PXR",MON.ALFREDO,"P.SAMPAIO,B/C",,,,,,,,,,,
,2200,60,68,,,,,,,,AV,NOSSA,SENHORA,DO,"SABARA,PXE",OP,R,QUINTA,DE,"S.LUZIA,C/B",,,,,,,,
,2201,70,78,,,,,,,,AV,ESCOLA,"POLITECNICA,PX",E,OPOST.AV,TORRES,DE,"OLIVEIRA,RT/MP",,,,,,,,,,
,2202,60,68,,,,,,,,AV,"MORUMBI,PX",E,OP.R,COLEGIO,PIO,"XII,PTE",MORUMBI/R,C.PIO,XII,,,,,,,,
,2203,60,68,,,,,,,,AV,"INTERLAGOS,CENTRO/BAIRRO,PROX",R,GERALDO,PACHECO,VALENTE,,,,,,,,,,,,
,2204,60,68,,,,,,,,AV,"INTERLAGOS,CENTRO/BAIRRO,PROXIMO",R,ASSUR,,,,,,,,,,,,,,
,2205,50,58,,,,,,,,AV,"IBIRAPUERA,CENTRO/BAIRRO,PROXIMO",R,PRESTES,JOAO,,,,,,,,,,,,,
,2206,50,58,,,,,,,,AV,"IBIRAPUERA,CENTRO/BAIRRO,PROXIMO",E,OPOSTO,AO,NUMERO,1983,,,,,,,,,,,
,2207,50,58,,,,,,,,AV,"IBIRAPUERA,CENTRO/BAIRRO,PROXIMO",AV,PAVAO,,,,,,,,,,,,,,
,2208,50,58,,,,,,,,AV,"IBIRAPUERA,CENTRO/BAIRRO,PROXIMO",E,OPOSTO,AO,NUMERO,3353,,,,,,,,,,,
,2209,50,58,,,,,,,,AV,"IBIRAPUERA,BAIRRO/CENTRO,PROXIMO",AO,NUMERO,3353,,,,,,,,,,,,,
,2210,50,58,,,,,,,,AV,"IBIRAPUERA,BAIRRO/CENTRO,PROXIMO",AV,MOACI,,,,,,,,,,,,,,
,2211,50,58,,,,,,,,AV,"IBIRAPUERA,BAIRRO/CENTRO,PROXIMO",AO,NUMERO,1983,,,,,,,,,,,,,
,2212,50,58,,,,,,,,VD,VER.JOSE,"DINIZ,CENTRO/BAIRRO,SOBRE",AV,PROF.VICENTE,RAO,,,,,,,,,,,,
,2213,50,58,,,,,,,,AV,VEREADOR,JOSE,"DINIZ,BAIRRO/CENTRO,PROXIMO",R,DO,NIQUEL,,,,,,,,,,,
,2214,50,58,,,,,,,,AV,VEREADOR,JOSE,"DINIZ,CENTRO/BAIRRO,PX",R,MORAIS,DE,BARROS,,,,,,,,,,
,2215,50,58,,,,,,,,AV,VEREADOR,JOSE,"DINIZ,CENTRO/BAIRRO,PX",R,VIEIRA,DE,MORAIS,,,,,,,,,,
,2216,50,58,,,,,,,,AV,VEREADOR,JOSE,"DINIZ,CENTRO/BAIRRO,PX",R,JOAQUIM,NABUCO,,,,,,,,,,,
,2217,50,58,,,,,,,,AV,VEREADOR,JOSE,"DINIZ,BAIRRO/CENTRO,PX",R,GABRIELE,DANNUNZIO,,,,,,,,,,,
,2218,50,58,,,,,,,,AV,VEREADOR,JOSE,"DINIZ,BAIRRO/CENTRO,PROXIMO",R,PASCAL,,,,,,,,,,,,
,2219,60,68,,,,,,,,AV,BRAS,"LEME,CENTRO/BAIRRO,ALTURA",DA,R,CAP.MOR,GOIS,E,MORAES,,,,,,,,,
,2220,60,68,,,,,,,,AV,BRAS,"LEME,BAIRRO/CENTRO,ALTURA",DA,R,SANTO,ANSELMO,,,,,,,,,,,
,2221,50,58,,,,,,,,R,DA,"CONSOLACAO,PROXIMO",AO,NUMERO,"2288,CENTRO/BAIRRO",,,,,,,,,,,,
,2222,50,58,,,,,,,,AV,"REBOUCAS,PROXIMO",E,OPOSTO,AL,"LORENA,CENTRO/BAIRRO",,,,,,,,,,,,
,2223,50,58,,,,,,,,AV,"REBOUCAS,PROXIMO",A,R,"AURIFLAMA,CENTRO/BAIRRO",,,,,,,,,,,,,
,2224,50,58,,,,,,,,AV,"REBOUCAS,PROXIMO",A,R,CAPITAO,"PRUDENTE,CENTRO/BAIRRO",,,,,,,,,,,,
,2225,50,58,,,,,,,,AV,PROF,FRANCISCO,"MORATO,PROXIMO",R,"DRAUSIO,CENTRO/BAIRRO",,,,,,,,,,,,
,2226,50,58,,,,,,,,AV,PROF,FRANCISCO,"MORATO,PROXIMO",NUMERO,"1484,CENTRO/BAIRRO",,,,,,,,,,,,
,2227,50,58,,,,,,,,AV,PROF,FRANCISCO,"MORATO,PX",RDR,MAURILIO,"V.PORTO,C/B",,,,,,,,,,,
,2228,50,58,,,,,,,,R,DA,"CONSOLACAO,PROXIMO",R,VISCONDE,DE,OURO,"PRETO,B/C",,,,,,,,,,
,2229,50,58,,,,,,,,R,DA,"CONSOLACAO,PROXIMO",AO,NUMERO,"1663(BOMBEIRO),B/C",,,,,,,,,,,,
,2230,50,58,,,,,,,,AV,"REBOUCAS,PROXIMO",A,AL,"LORENA,BAIRRO/CENTRO",,,,,,,,,,,,,
,2231,50,58,,,,,,,,AV,"REBOUCAS,PROXIMO",E,OPOSTO,A,R,"AURIFLAMA,BAIRRO/CENTRO",,,,,,,,,,,
,2232,50,58,,,,,,,,AV,PROF,FRANCISCO,"MORATO,PX",R,PROF,LADISLAU,"PETER,B/C",,,,,,,,,,
,2233,50,58,,,,,,,,AV,PROF,FRANCISCO,"MORATO,PROX",R,GAL,SENA,"VASCONCELOS,B/C",,,,,,,,,,
,2234,50,58,,,,,,,,AV,GEN,EDGAR,"FACCO,C/B,PROXIMO",A,R,ANTONIO,DA,CUNHA,COELHO,,,,,,,,
,2235,50,58,,,,,,,,AV,ERMANO,"MARCHETTI,CENTRO/BAIRRO,PX",R,ADRIANO,JOSE,MARCHINI,,,,,,,,,,,
,2236,50,58,,,,,,,,AV,FRANCISCO,"MATARAZZO,C/B,PROXIMO",R,DONA,GERMAINE,BURCHARD,,,,,,,,,,,
,2237,50,58,,,,,,,,AV,GENERAL,OLIMPIO,DA,"SILVEIRA,CENTRO/BAIRRO,PX",R,MARGARIDA,,,,,,,,,,,
,2238,50,58,,,,,,,,AV,SAO,"JOAO,CENTRO/BAIRRO,PROXIMO",A,R,APA,,,,,,,,,,,,
,2239,50,58,,,,,,,,AV,SAO,"JOAO,CENTRO/BAIRRO,PROXIMO",A,R,HELVETIA,,,,,,,,,,,,
,2240,50,58,,,,,,,,AV,GEN,EDGAR,"FACCO,BAIRRO/CENTRO,PROXIMO",R,ANGELINA,UGOLINE,,,,,,,,,,,
,2241,50,58,,,,,,,,AV,ERMANO,"MARCHETTI,BAIRRO/CENTRO,PX",A,PRACA,JACOMO,ZANELLA,,,,,,,,,,,
,2242,50,58,,,,,,,,AV,FRANCISCO,"MATARAZZO,BAIRRO/CENTRO,PROXIMO",AO,NUMERAL,1899,,,,,,,,,,,,
,2243,50,58,,,,,,,,AV,FRANCISCO,"MATARAZZO,BAIRRO/CENTRO,PX",A,R,DR,COSTA,JUNIOR,,,,,,,,,,
,2244,50,58,,,,,,,,AV,FRANCISCO,"MATARAZZO,BAIRRO/CENTRO,PX",A,R,MINISTRO,GODOI,,,,,,,,,,,
,2245,50,58,,,,,,,,AV,GEN,OLIMPIO,DA,"SILVEIRA,B/C,PX",A,R,CONSELHEIRO,BROTERO,,,,,,,,,
,2246,50,58,,,,,,,,AV,SAO,"JOAO,BAIRRO/CENTRO,PROXIMO",A,R,APA,,,,,,,,,,,,
,2247,50,58,,,,,,,,AV,SADAMU,"INOUE,C/B,PX",CH.PAULINOIVA/CAMINHO,"SERVIDAO,KM",31,,,,,,,,,,,,
,2248,50,58,,,,,,,,AV,SADAMU,"INOUE,B/C,PX",CH.PAULINOIVA/CAMINHO,"SERVIDAO,KM",31,,,,,,,,,,,,
,2249,60,68,,,,,,,,R,BOM,"PASTOR,SENTIDO","BAIRRO/CENTRO,PROXIMO",A,R,LIMA,E,SILVA,,,,,,,,,
,2250,50,58,,,,,,,,AV,ROBERT,"KENNEDY,BAIRRO/CENTRO,PROXIMO",A,R,CARLOS,KLEIN,,,,,,,,,,,
,2251,50,58,,,,,,,,AV,ROBERT,"KENNEDY,CENTRO/BAIRRO,PROXIMO",A,R,BENEDITO,LEITE,,,,,,,,,,,
,2252,50,58,,,,,,,,AV,ROBERT,"KENNEDY,BAIRRO/CENTRO,PROXIMO",A,R,NICOLAU,ALAYON,,,,,,,,,,,
,2253,50,58,,,,,,,,AV,SENADOR,TEOTONIO,"VILELA,B/CRROX.",AV,PRES.,JOAO,GOULART,,,,,,,,,,
,2254,50,58,,,,,,,,AV,SEN.TEOTONIO,"VILELA,CENTRO/BAIRRO,ENFRENTE",EXTRA,HIPERM.,,,,,,,,,,,,,
,2255,50,58,,,,,,,,AV,SENADOR,TEOTONIO,"VILELA,BAIRRO/CENTRO,PROXIMO",AO,N.,3141,,,,,,,,,,,
,2256,50,58,,,,,,,,AV,SEN.TEOTONIO,"VILELA,C/B,ENFRENTE",A,R,ARISTIDES,FRANCA,,,,,,,,,,,
,2257,50,58,,,,,,,,AV,SENADOR,TEOTONIO,"VILELA,BAIRRO/CENTRO,PX",A,R,CANTAURA,,,,,,,,,,,
,2258,60,68,,,,,,,,AV,MANOEL,MONTEIRO,DE,"ARAUJO,B/C,",PROX,AO,NUMERO,1350,,,,,,,,,
,2259,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOC/B,SOB",VIADUTO,9,DE,JULHO,,,,,,,,,,
,2260,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOC/B,EM",FRENTE,AO,NUMERAL,3000,,,,,,,,,,
,2261,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOC/B,PROXIMO",A,ALAMEDA,LORENA,,,,,,,,,,,
,2262,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOC/B,PROXIMO",AO,NUMERAL,3858,,,,,,,,,,,
,2263,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOB/C,SOB",O,VIADUTO,9,DE,JULHO,,,,,,,,,
,2264,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOB/C,PROXIMO",A,ALAMEDA,LORENA,,,,,,,,,,,
,2265,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOB/C,PROXIMO",RUA,ESTADOS,UNIDOS,,,,,,,,,,,
,2266,50,58,,,,,,,,AVENIDA,NOVE,DE,"JULHO,SENTIDOB/C,PROXIMO",PRACA,DAS,GUIANAS,,,,,,,,,,,
,2267,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","C/B,PROXIMO",A,RUA,NEBRASCA,,,,,,,,,,,
,2268,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","C/B,PROXIMO",A,RUA,PENSILVANIA,,,,,,,,,,,
,2269,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","C/B,PROXIMO",R,PASSAROS,E,FLORES,,,,,,,,,,
,2270,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","C/B,PROXIMO",R,SEN,MILTON,CAMPOS,,,,,,,,,,
,2271,50,58,,,,,,,,AVENIDA,SANTO,AMARO,LADO,"PAR,SENTIDO","C/B,PROXIMO",RUA,DA,PAZ,,,,,,,,,
,2272,50,58,,,,,,,,AV,SANTO,AMARO,LADO,"IMPAR,SENTIDO","C/B,PROXIMO",A,RUA,DA,PAZ,,,,,,,,
,2273,50,58,,,,,,,,AVENIDA,SANTO,AMARO,LADO,"PAR,SENTIDO","C/B,PROX",R,VERBO,DIVINO,,,,,,,,,
,2274,50,58,,,,,,,,AV,SANTO,AMARO,LADO,"IMPAR,SENTIDO","C/B,PROX",RUA,VERBO,DIVINO,,,,,,,,,
,2275,50,58,,,,,,,,AVENIDA,SANTO,AMARO,LADO,"PAR,SENT","C/B,PROX",R,DA,FRATERNIDADE,,,,,,,,,
,2276,50,58,,,,,,,,AV,SANTO,AMARO,LADO,"IMPAR,SENTC/B,PROX",RUA,DA,FRATERNIDADE,,,,,,,,,,
,2277,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENT","B/C,PROXIMO",A,RUA,JURUENA,,,,,,,,,,,
,2278,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","B/C,PROXIMO",A,RUA,GEORGIA,,,,,,,,,,,
,2279,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","B/C,PROXIMO",A,RUA,PASCAL,,,,,,,,,,,
,2280,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","B/C,PROXIMO",A,RUA,ASSIS,BRASIL,,,,,,,,,,
,2281,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","B/C,OPOSTO",R,PASSAROS,E,FLORES,,,,,,,,,,
,2282,50,58,,,,,,,,AVENIDA,SANTO,"AMARO,SENTIDO","B/C,OPOSTO",RUA,SEN,MILTON,CAMPOS,,,,,,,,,,
,2283,50,58,,,,,,,,AVENIDA,JOAO,"DIAS,SENTIDO","C/B,PROXIMO",A,RUA,MISSIONARIOS,,,,,,,,,,,
,2284,50,58,,,,,,,,AV,JOAO,"DIAS,SENT","C/B,EM",FRENTE,A,PCA,SANTO,INACIO,DE,LOYOLA,,,,,,,
,2285,50,58,,,,,,,,AV,JOAO,"DIAS,SENTIDO","C/B,PROXA",RUA,ENG,FRANCISCO,DE,GODOI,,,,,,,,,
,2286,50,58,,,,,,,,ESTRADA,DE,"ITAPECERICA,SENTIDOC/B,PROXIMO",AO,N,1018,,,,,,,,,,,,
,2287,50,58,,,,,,,,ESTRADA,DE,"ITAPECERICA,SENTIDOC/B,PROXIMO",AO,N,1888,,,,,,,,,,,,
,2288,50,58,,,,,,,,ESTR,DE,"ITAPECERICA,SENT","C/B,PROX",A,R,ROGERIO,DE,PAULA,BRITO,,,,,,,,
,2289,50,58,,,,,,,,AVENIDA,JOAO,"DIAS,SENTIDO","B/C,PROX",A,RUA,BARAO,DO,RIO,BRANCO,,,,,,,,
,2290,50,58,,,,,,,,ESTR,DE,"ITAPECERICA,SENT","B/C,PROX",R,TEN,ISAIAS,BCO,DE,ARAUJO,,,,,,,,
,2291,50,58,,,,,,,,ESTRADA,DE,"ITAPECERICA,SENT","B/C,PROX",A,RUA,JOSEFINA,MORETTI,,,,,,,,,,
,2292,50,58,,,,,,,,ESTRADA,DE,"ITAPECERICA,SENT","B/C,PROX",A,RUA,MANUEL,DE,BURGOS,,,,,,,,,
,2293,50,58,,,,,,,,AV,RIO,"BRANCO,CENTRO/BAIRRO,ALTURA",DO,NUMERO,500,,,,,,,,,,,,
,2294,50,58,,,,,,,,AV,RIO,"BRANCO,CENTRO/BAIRRO,ALTURA",DO,NUMERO,942,,,,,,,,,,,,
,2295,50,58,,,,,,,,AV,RIO,"BRANCO,CENTRO/BAIRRO,PROXIMO",ALAMEDA,RIBEIRO,DA,SILVA,,,,,,,,,,,
,2296,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,CENTRO/BAIRRO,PX",R,JAMES,HOLLAND,,,,,,,,,,
,2297,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,CENTRO/BAIRRO,ALTURA",DO,NUMERO,206,,,,,,,,,,
,2298,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,C/B,PROXIMO",R,DR,RUBENS,MEIRELES,,,,,,,,,
,2299,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,C/B,PROXIMO",PRACA,PASCOAL,MARTINS,,,,,,,,,,
,2300,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,C/B,PROXIMO",PARADA,NACIONAL,N,2470,,,,,,,,,
,2301,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,C/B,PX",R,FRANCISCO,L.DE,SOUZA,JR,,,,,,,,
,2302,50,58,,,,,,,,AV,RIO,"BRANCO,BAIRRO/CENTRO,ALTURA",DO,NUMERO,527,,,,,,,,,,,,
,2303,50,58,,,,,,,,AV,RIO,"BRANCO,BAIRRO/CENTRO,ALTURA",DO,NUMERO,980,,,,,,,,,,,,
,2304,50,58,,,,,,,,AV,RIO,"BRANCO,BAIRRO/CENTRO,PROXIMO",ALAMEDA,RIBEIRO,DA,SILVA,,,,,,,,,,,
,2305,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,BAIRRO/CENTRO,ALTURA",DO,NUMERO,23,,,,,,,,,,
,2306,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,BAIRRO/CENTRO,ALTURA",DO,NUMERO,277,,,,,,,,,,
,2307,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,BAIRRO/CENTRO,ALTURA",DO,NUMERO,575,,,,,,,,,,
,2308,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,BAIRRO/CENTRO,ALT.",DO,NUMERO,1011,,,,,,,,,,
,2309,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,B/C,PROXIMO",PARADA,CETET,NUM.2160,,,,,,,,,,
,2310,50,58,,,,,,,,AV,MARQUES,DE,SAO,"VICENTE,B/C,PROXIMO",PARADA,NACIONAL,N,2470,,,,,,,,,
,2311,50,58,,,,,,,,AV,INAJAR,DE,"SOUZA,BAIRRO/CENTRO,ALTURA",DO,NUMERO,1039,,,,,,,,,,,
,2312,50,58,,,,,,,,AV,INAJAR,DE,"SOUZA,BAIRRO/CENTRO,PROXIMO",R,COSMO,,,,,,,,,,,,
,2313,50,58,,,,,,,,AV,INAJAR,DE,"SOUZA,BAIRRO/CENTRO,ALTURA",DO,NUMERO,2017,,,,,,,,,,,
,2314,50,58,,,,,,,,AV,INAJAR,DE,"SOUZA,B/C,PROXIMO",R,SIMAO,DE,TOLEDO,CASTELHANOS,,,,,,,,,
,2315,50,58,,,,,,,,AV,INAJAR,DE,"SOUZA,BAIRRO/CENTRO,ALTURA",DO,NUMERO,2809,,,,,,,,,,,
,2316,50,58,,,,,,,,AV,INAJAR,DE,"SOUZA,BAIRRO/CENTRO,ALTURA",DO,NUMERO,204,B,,,,,,,,,,
,2317,50,58,,,,,,,,AV,"GUARAPIRANGA,CENTRO/BAIRRO,PROXIMO",R,ANDRE,DE,LEAO,,,,,,,,,,,,
,2318,50,58,,,,,,,,AV,"GUARAPIRANGA,CENTRO/BAIRRO,PROXIMO",AO,NUMERO,750,,,,,,,,,,,,,
,2319,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,CENTRO/BAIRRO,EM",FRENTE,AO,NUMERO,954,,,,,,,,,
,2320,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,CENTRO/BAIRRO,EM",FRENTE,NUMERO,2298,,,,,,,,,,
,2321,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,CENTRO/BAIRRO,EM",FRENTE,NUMERO,4154,,,,,,,,,,
,2322,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,B/C,PROXIMO",R,PROF.BARROSO,DO,AMARAL,,,,,,,,,
,2323,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,B/C,PX",E,OPOST.R,RIO,BRANCO,PARANHOS,,,,,,,,
,2324,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,BAIRRO/CENTRO,EM",FRENTE,NUMERO,2063,,,,,,,,,,
,2325,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,B/C,PROXIMO",R,MANUEL,PINTO,GUEDES,,,,,,,,,
,2326,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,BAIRRO/CENTRO,EM",FRENTE,AO,NUMERO,239,,,,,,,,,
,2327,50,58,,,,,,,,AV,"GUARAPIRANGA,BAIRRO/CENTRO,EM",FRENTE,AO,NUMERO,881,,,,,,,,,,,,
,2328,50,58,,,,,,,,AV,"GUARAPIRANGA,BAIRRO/CENTRO,PX",E,OPOSTO,R,FERREIRA,VIANA,,,,,,,,,,,
,2329,60,68,,,,,,,,AV,"SUMARE,PROXIMO",A,R,"IPEROIG,SENTIDO",PERDIZES/PINHEIROS,,,,,,,,,,,,
,2330,60,68,,,,,,,,AV,"SUMARE,PX",R,DR,HOMEM,DE,"MELO,SENTIDO",PINHEIROS/PERDIZES,,,,,,,,,,
,2331,60,68,,,,,,,,AV,"SUMARE,PROXIMO",A,R,"VANDERLEY,SENTIDO",PERDIZES/PINHEIROS,,,,,,,,,,,,
,2332,60,68,,,,,,,,AV,"SUMARE,PROXIMO",A,R,"VANDERLEY,SENTIDO",PINHEIROS/PERDIZES,,,,,,,,,,,,
,2333,80,87,,,,,,,,AV,23,DE,"MAIO,PROX.R.ALVARO",GUIMARAES,SENT,SANTANA/AEROPORTO,,,,,,,,,,,
,2334,80,87,,,,,,,,AV.23,DE,"MAIO,PROX.VIAD.BENEFIPORTUG",SENT.AEROPORTO/SANTANA,,,,,,,,,,,,,,
L4,2400,60,68,,,,'-23.67900300000000200,'-46.68570299999999700,,,AV.,INTERLAGOS,(CENTRO/BAIRRO),A,MAIS11,METROS,DA,R.,GERALDO,PACHECO,VALENTE,,,,,,,
L4,2401,60,68,,,,'-23.68313200000000000,'-46.69054400000000300,,,AV.,INTERLAGOS,(BAIRRO/CENTRO),A,MENOS,30,METROS,DA,AV.,ENG.,EUSEBIO,STEVAUX,,,,,,
L4,2402,60,68,,,,'-23.66046700000000100,'-46.69518999999999700,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,(BAIRRO/CENTRO),NUMERO,421,,,,,,,,,,
L4,2403,60,68,,,,'-23.66039700000000000,'-46.69592300000000000,,,AV.,NOSSA,SENHORA,DO,SABARA,(C/B),A,MAIS,117M,DA,R.,DR.,ARMANDO,DA,SILVA,PRADO,,
L4,2404,60,68,,,,'-23.59816600000000000,'-46.74715800000000000,,,AVENIDA,PIRAJUSSARA(BAIRRO/CENTRO),A,MENOS,270,METROS,DA,RUA,CAMINHO,DO,ENGENHO,,,,,,,
L4,2405,50,58,,,,'-23.59816600000000000,'-46.74715800000000000,,,AV,PIRAJUSSARA(B/C),A,MENOS,270M,DA,RCAMINHO,DO,ENGENHO-FAIXA,EXCLUSIVA,ONIBUS,,,,,,,
L4,2406,60,68,,,,'-23.59862700000000000,'-46.74097100000000200,,,AV,PROFESSOR,FRANCISCO,MORATO,(BAIRRO/CENTRO),A,MENOS,70M,DA,R,DAVID,MATARASSO,,,,,,
L4,2407,50,58,,,,'-23.59862700000000000,'-46.74097100000000200,,,AV,PROF,FRANCISCO,MORATO,(B/C),A,MENOS,70M,DA,R,DAVID,MATARASSO-FX,EXCL,ONIBUS,,,,
,2408,50,58,,,,,,,,AV,PROF,FRANC.,MORATO,(B/C),A,MENOS,94M,DA,R,JOAO,BAT,DE,S,FILHO-FX,EXCL,ONIBUS,
,2409,60,68,,,,,,,,AV,PROF,FRANCISCO,MORATO,(B/C),A,MENOS,94M,DA,RUA,JOAO,BATISTA,DE,SOUZA,FILHO,,,
L4,2410,50,58,,,,'-23.63267099999999800,'-46.68159500000000200,,,AV,PROF,VICENTE,RAO,(DIADEMA/MARG),OPOSTO,AO,NR,894-FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,
