seq,CODLOG,DATA PUBLICALÇÃO,CÓDIGO PRODAM,TIPO EQUIP.,LOCAL,LATATITUDE,LONGITUDE
228,,,11a Ordem,Radra Fixo,"AV IPIRANGA, NÚMERO 1138 ( NÚMERO 1212 - AUX.) (LUZ/CONSOLAÇÃO)",-23.540719°,-46.637958°
,,,11a Ordem,Radra Fixo,"AV MARIA LUIZA AMERICANO, OPOSTO AO NÚMERO 1031 (BAIRRO/CENTRO)",-23.570335°,-46.479907°
,,,11a Ordem,Radra Fixo,"AV MARIA LUIZA AMERICANO, OPOSTO AO NÚMERO 1088 ( CENTRO/BAIRRO)",-23.569823°,-46.479569°
,,,11a Ordem,Radra Fixo,"AV MATEO BEI, A MAIS 34,0M DA R SIMÃO ALVARES MOUSINHO, ( A MENOS 55,0M DA R SIMÃO ALVARES MOUSINHO  - AUX) (BAIRRO/CENTRO)",-23.588623°,-46.490225°
,,,11a Ordem,Radra Fixo,"AV MATEO BEI, A MAIS 43,0 M DA R SIMÃO ALVARES MOUSINHO ( CENTRO/BAIRRO)",-23.589337°,-46.490122°
,,,11a Ordem,Radra Fixo,"AV PROF. LUIZ IGNÁCIO ANHAIA MELLO,  A MENOS 45M DA R AMÉRICO VESPUCCI (BAIRRO/CENTRO)",-23.584199°,-46.577897°
,,,11a Ordem,Radra Fixo,"AV PROF. LUIZ IGNÁCIO ANHAIA MELLO, Nº 1820 (CENTRO/BAIRRO)",-23.584038°,-46.575926°
,,,11a Ordem,Radra Fixo,"AV RANGEL PESTANA, NÚMERO 1482 ( NÚMERO 1372 - AUX ) (CENTRO/BAIRRO)",-23.545410°,-46.620336°
,,,11a Ordem,Radra Fixo,"AV REGENTE FEIJÓ, NÚMERO 715A (A MAIS 5,0M DA TRAVESSA EVOCAÇÃO - AUX) (BAIRRO/CENTRO)",-23.557842°,-46.571313°
,,,11a Ordem,Radra Fixo,"AV S MIGUEL, A MAIS 78,0M DA AV MANOEL DOS SANTOS BRAGA (CENTRO/BAIRRO)",-23.503671°,-46.472150°
,,,11a Ordem,Radra Fixo,"AV S MIGUEL, NÚMERO 6451 (BAIRRO/CENTRO)",-23.503489°,-46.472325°
,,,11a Ordem,Radra Fixo,"RUA DA FIGUEIRA, NÚMERO 611 ( BAIRRO/CENTRO)",-23.550316°,-46.625245°
,,,11a Ordem,Radra Fixo,"RUA DA MOOCA,  NÚMERO 2917 ( NÚMERO 3003 - AUX), (BAIRRO/CENTRO)",-23.555785°,-46.596807°
,,,11a Ordem,Radra Fixo,RUA IBITIRAMA N 421 BC,-23.585336°,-46.584192°
,,,11a Ordem,Radra Fixo,"RUA JOÃO TEODORO, Nº 1029 (NÚMERO 1117 - AUX), (BAIRRO/CENTRO)",-23.534910°,-46.622735°
,,,11a Ordem,Radra Fixo,"VIADULTO JACEGUAI,  A MAIS 122 METROS DA AV DA LIBERDADE ( PENHA/LAPA)",-23.556138°,-46.637561°
,,,11a Ordem,Radra Fixo,"VIADULTO JACEGUAI,  A MENOS 122 METROS DA AV DA LIBERDADE (LAPA/PENHA)",-23.556138°,-46.637561°
63,,,4222/4223,Radra Fixo,"AV RIO DAS PEDRAS (C/B), A MAIS 42M DA RUA MINÉRIOS ATÔMICOS",-23.571315°,-46.506563°
,,,4236 / 4237,Radra Fixo,RUA DOUTOR ASSIS RIBEIRO (BAIRRO/ CENTRO) OPOSTO AO NÚMERO 3216,-23.499732°,-46.523018°
145,,,4240/4241,Radra Fixo,"AV CANGAIBA (B/C), Nº 3427",-23.505718°,-46.523634°
140,,,4242/4243,Radra Fixo,"RUA DR. ASSIS RIBEIRO (C/B), A MAIS 81M DO Nº 414",-23.509514°,-46.546031°
,,,4246 / 4247,Radra Fixo,"AV MATEO BEI (BAIRRO/CENTRO), NÚMERO 2323",-23.602264°,-46.482769°
,,,4248 / 4249,Radra Fixo,"AV MATEO BEI (CENTRO/BAIRRO), NÚMERO 2372",-23.602709°,-46.482558°
136,,,4251/4252,Radra Fixo,"AV CONDE DE FRONTIN (C/B),  A MAIS 40M DA RUA MONSENHOR FRANCISCO DE PAULA",-23.533439°,-46.539978°
239,,,4253/4254,Radra Fixo,AV ARICANDUVA (B/C) A MAIS 15M DA AV MATAPI,-23.575277°,-46.502506°
,,,4256 / 4257,Radra Fixo,"AV PAES DE BARROS (CENTRO/BAIRRO), NÚMERO 2430 – FAIXA EXCLUSIVA DE ÔNIBUS.",-23.571974°,-46.587530°
213,,,4258/4259,Radra Fixo,"AV SAPOPEMBA (B/C),  Nº 25820",-23.620523°,-46.454530°
233,,,4260/4261,Radra Fixo,"AV SAPOPEMBA (C/B), A MAIS 30M DO Nº 16630",-23.620368°,-46.460151°
76,,,4263/4264,Radra Fixo,"AV AGUIA DE HAIA (C/B), A MENOS 241M DA ESTRADA DO IMPERADOR",-23.519089°,-46.475854°
60,,,4265/4266,Radra Fixo,"AV AGUIA DE HAIA (B/C), A MENOS 104M DA ESTRADA DE MOGI DAS CRUZES",-23.515639°,-46.476636°
9,,,4267/4268,Radra Fixo,"AV MAL. TITO (B/C), Nº 877",-23.494977°,-46.437610°
186,,,4269/4270,Radra Fixo,"AV MAL. TITO (C/B), A MAIS 30M DA RUA ENGº. MANUEL OSÓRIO",-23.494919°,-46.437369°
83,,,4271/4272,Radra Fixo,"ESTRADA DO IMPERADOR (C/B), OPOSTO AO Nº 984",-23.518415°,-46.474781°
188,,,4273/4274,Radra Fixo,"AV SÃO MIGUEL (C/B), Nº 474",-23.518610°,-46.523598°
115,,,4299/4437,Radra Fixo,"AV ARICANDUVA (RADIAL LESTE/SÃO MATEUS), N° 12200",-23.593109°,-46.469970°
302,,,4306/4534,Radra Fixo,"AV SÃO MIGUEL (C/B), Nº 4560",-23.507545°,-46.489294°
151,,,4364/4465,Radra Fixo,"AV PAES DE BARROS (C/B), N° 3420",-23.580646°,-46.586855°
92,,,4366/4463,Radra Fixo,"AV CONDE DE FRONTIN (C/B), A MENOS 55 M DA RUA PINHALZINHO",-23.536051°,-46.553105°
158,,,4368/4464,Radra Fixo,"AV CONDE DE FRONTIN (B/C), A MENOS 325 M DO ACESSO AO VD. ANTONIO ABDO",-23.540435°,-46.575273°
301,,,4370/4438,Radra Fixo,"AV SÃO MIGUEL (C/B), A MENOS 29 M DA RUA PAU D'ARCO ROXO",-23.498857°,-46.465356°
3,,,4374/4389,Radra Fixo,"AV JACU-PÊS./N. TRAB. (S. MATEUS/S. MIGUEL), A MENOS 20 M DA R JAIME RIBEIRRO WRIGHT",-23.573488°,-46.445493°
187,,,4376/4387,Radra Fixo,"AV JACU-PÊS./N. TRAB. (S. MIGUEL/ S. MATEUS), A MAIS 256 M DA EST. DOS MONOS",-23.587751°,-46.442940°
205,,,4382/4352,Radra Fixo,"AV ARICANDUVA (B/C), A MENOS 1,3 KM DA EST. DA FAZENDA DO CARMO",-23.592466°,-46.471551°
16,,,4395/4396,Radra Fixo,"AV ALCANTARA MACHADO (CENTRO/BAIRRO), Nº 4360",-23.542830°,-46.584188°
28,,,4398/4399,Radra Fixo,"AV RUDGE (B/C), A MAIS 4,5M DA RUA JAMES ROLLAND",-23.522765°,-46.650835°
292,,,4406/4407,Radra Fixo,"AV NOVE DE JULHO (C/B), Nº 398",-23.549759°,-46.642293°
86,,,4409/4410,Radra Fixo,"AV NOVE DE JULHO (B/C), Nº 399",-23.549589°,-46.642221°
100,,,4439/4440,Radra Fixo,"AV ARICANDUVA (CENTRO/BAIRRO), A MAIS 123M DA RUA ASTARTE",-23.549100°,-46.525121°
109,,,4461/4462,Radra Fixo,"AV ARICANDUVA (C/B), A MAIS 13 M DA RUA FUNILÂNDIA",-23.579039°,-46.497065°
257,,,4496/4497,Radra Fixo,"AV ARICANDUVA (BAIRRO/CENTRO), A MENOS 235M DA RUA FORTUNA DE MINAS",-23.563236°,-46.508487°
,,,4505 / 4606,Radra Fixo,RUA DO ACRE (CENTRO/BAIRRO) NÚMERO 722,-23.558135°,-46.578928°
230,,,4523/4524,Radra Fixo,"PRAÇA PRINCESA ISABEL (BAIRRO/CENTRO), A MENOS 25M DA AV DUQUE DE CAXIAS",-23.536273°,-46.642781°
164,,,4532/4533,Radra Fixo,"AV SENADOR QUEIRÓS (BRÁS/SANTA IFIGÊNIA), Nº 396",-23.539512°,-46.632461°
131,,,4535/4536,Radra Fixo,"AV CRUZEIRO DO SUL (CENTRO/BAIRRO), A MENOS 64,0M DO Nº 548",-23.527528°,-46.625314°
48,,,4538/4539,Radra Fixo,"AV ALCÂNTARA MACHADO (C/B), N° 638",-23.552681°,-46.618765°
268,,,4561 / 4562,Radra Fixo,"AV SÃO MIGUEL ( CENTRO/BAIRRO), 7469 ",-23.498688°,-46.465116°
262,,,4586/4587,Radra Fixo,"AV SANTOS DUMONT (CENTRO/BAIRRO), A MENOS 162,0M DA AV DO ESTADO",-23.526064°,-46.631024°
41,,,4588/4589,Radra Fixo,"AV SANTOS DUMONT (BAIRRO/CENTRO), A MENOS 20,0M DA RUA RODOLFO MIRANDA",-23.525801°,-46.631240°
141,,,4591/4592,Radra Fixo,"ESTRADA DE MOGI DAS CRUZES (C/B), NÚMERO 590 ",-23.514208°,-46.494339°
,,,4597 / 4598,Radra Fixo,"RUA DOS TRILHOS (CENTRO/BAIRRO), A MENOS 24M DA R VISCONDE DE LAGUNA",-23.553123°,-46.602818°
,,,4599 / 4600,Radra Fixo,"AV RIO DAS PEDRAS (CENTRO/BAIRRO), NÚMERO 280",-23.560507°,-46.519473°
,,,4601 / 4602 ,Radra Fixo,"AV RIO DAS PEDRAS (BAIRRO/CENTRO), NÚMERO 207",-23.559878°,-46.520005°
,,,4603 / 4604,Radra Fixo,"ESTRADA DE MOGI DAS CRUZES (BAIRRO/CENTRO), NÚMERO 147",-23.514945°,-46.498306°
