1143,86045,Av.,Peri,Ronchetti,prox.,R.,Emb.,Orlando,Ribeiro,(Sentido,Cachoeirinha/Horto),,,,,,,,
1144,86042,R.,Tito,alt.,do,n0,32,(Sentido,Lapa/Perdizes),,,,,,,,,,
1145,86050,Av.,Joaquina,Ramalho,prox.,R.,Joao,Veloso,Filho,(Sentido,Centro/Bairro),,,,,,,,
1146,86051,Av.,Joaquina,Ramalho,prox.,R.,Joao,Veloso,Filho,(Sentido,Bairro/Centro),,,,,,,,
1147,86052,Av.,Joaquina,Ramalho,alt.,do,n0,1.5,(Sentido,Centro/Bairro),,,,,,,,,
1148,86052,Av.,Joaquina,Ramalho,alt.,do,n0,1.5,(Sentido,Bairro/Centro),,,,,,,,,
1149,86041,Av.,Gen.,Ataliba,Leonel,prox.,R.,Sao,Januario,(Sentido,Centro/Bairro),,,,,,,,
1150,86041,Av.,Gen.,Ataliba,Leonel,prox.,R.,Sao,Januario,(Sentido,Bairro/Centro),,,,,,,,
1151,86049,R.,Voluntarios,da,Patria,alt.,do,n0,4.747,(Sentido,Mandaqui/Santana),,,,,,,,
1152,86049,R.,Voluntarios,da,Patria,alt.,do,n0,4.747,(Sentido,Santana/Mandaqui),,,,,,,,
1153,86033,R.,Cel.,Jose,Rufino,Freire,prox.,R.,Erva,das,Virgens,(V.Jaragua/Sao,Domingos),,,,,,
1154,86033,R.,Cel.,Jose,Rufino,Freire,prox.,R.,Erva,das,Virgens,(Sao,Domingos/V.Jaragua),,,,,,
1155,86035,Av.,Cândido,Portinari,prox.,a,Pca,Gen.Guimaraes,(Av.,Mutinga/Rod.,Anhanguera),,,,,,,,
1156,86035,Av.,Cândido,Portinari,prox.,a,Pca,Gen.Guimaraes,(Rod.,Anhanguera/Av.,Mutinga),,,,,,,,
1157,86048,Av.,Imirim,alt.,do,n0,3.764,(Sentido,Centro/Bairro),,,,,,,,,,
1158,86048,Av.,Imirim,alt.,do,n0,3.764,(Sentido,Bairro/Centro),,,,,,,,,,
1159,86047,Av.,Dep.,Emilio,Carlos,prox.,a,R.,Crisolia,(Sentido,Centro/Bairro),,,,,,,,
1160,86047,Av.,Dep.,Emilio,Carlos,prox.,a,Av.,Eulina,(Sentido,Bairro/Centro),,,,,,,,
1161,86060,R.,Dr.,Zuquim,prox.,R.,Lidia,Coelho,(Sentido,Centro/Bairro),,,,,,,,,
1162,86066,Av.,Ede,prox.,R.,Silva,Guimaraes,(Sentido,Centro/Bairro),,,,,,,,,,
1163,86066,Av.,Ede,prox.,R.,Silva,Guimaraes,(Sentido,Bairro/Centro),,,,,,,,,,
1164,86058,Av.,Parada,Pinto,prox.,R.,Casa,Ilha,da,Madeira,(Sentido,Centro/Bairro),,,,,,,
1165,86058,Av.,Parada,Pinto,prox.,R.,Casa,Ilha,da,Madeira,(Sentido,Bairro/Centro),,,,,,,
1166,86044,R.,Cons.,Moreira,de,Barros,alt.,do,n0,2.826,(Sentido,Mandaqui/Santana),,,,,,,
1167,86044,R.,Cons.,Moreira,de,Barros,alt.,do,n0,2.826,(Sentido,Santana/Mandaqui),,,,,,,
1168,86046,R.,Dr.,Cesar,prox.,R.,Capitao,Manuel,Novais,(Sentido,Bairro/Centro),,,,,,,,
1169,86059,R.,Pe,Saboia,de,Medeiros,prox.,R.,Dr.,Afrodisio,Vidigal,(V.,Maria/Jd.,Japao),,,,,
1170,86059,R.,Pe,Saboia,de,Medeiros,prox.,R.,Dr.,Afrodisio,Vidigal,(Jd.,Japao/V.,Maria),,,,,
1171,86065,R.,John,Harrison,prox.,R.,Joao,Pereira,(Sentido,Barra,Funda/Lapa),,,,,,,,
1172,86054,Av.,Dep.,Cantidio,Sampaio,prox.,R.,Jose,Eduardo,Pereira,II,(Bairro/Centro),,,,,,,
1173,86069,R.,Cerro,Cora,alt.,do,n0,1.264,(Sentido,Centro/Bairro),,,,,,,,,
1174,86070,R.,Cerro,Cora,alt.,do,n0,1.264,(Sentido,Bairro/Centro),,,,,,,,,
1175,86056,Av.,Elisio,Teixeira,Leite,prox.,R.,Pe,Achilles,Silvestre,(Sentido,Centro/Bairro),,,,,,,
1176,86056,Av.,Elisio,Teixeira,Leite,prox.,R.,Pe,Achilles,Silvestre,(Sentido,Bairro/Centro),,,,,,,
1177,86068,R.,Cel.,Marcilio,Franco,alt.,do,n0,305,(Sentido,Centro/Bairro),,,,,,,,
1178,86068,R.,Cel.,Marcilio,Franco,alt.,do,n0,305,(Sentido,Bairro/Centro),,,,,,,,
1179,86055,Av.,Nova,Cantareira,alt.,do,n0,2.534,(Sentido,Tucuruvi/agua,Fria),,,,,,,,
1180,86061,Av.,Nova,Cantareira,alt.,do,n0,2.534,(Sentido,agua,Fria/Tucuruvi),,,,,,,,
1181,86053,Av.,Nova,Cantareira,alt.,do,n0,3.541,(Sentido,Tremembe/agua,Fria),,,,,,,,
1182,86062,Av.,Nova,Cantareira,alt.,do,n0,3541,(Sentido,agua,Fria/Tremembe),,,,,,,,
1183,86063,Av.,Raimundo,P.,Magalhaes,prox.,R.,Emilia,Bigotini,(Sentido,Centro/Bairro),,,,,,,,
1184,86057,Av.,Raimundo,P.,Magalhaes,prox.,R.,Emilia,Bigotini,(Sentido,Bairro/Centro),,,,,,,,
1185,86067,Av.,Clavasio,Alves,da,Silva,prox.,R.,Roque,de,Morais,(Sentido,Centro/Bairro),,,,,,
1186,86067,Av.,Clavasio,Alves,da,Silva,prox.,R.,Estela,Borges,Morato,(Sentido,Bairro/Centro),,,,,,
1187,86071,Av.,Dep.,Cantidio,Sampaio,prox.,Tr.,Vancouver,(Sentido,Bairro/Centro),,,,,,,,,
1188,86043,R.,Maria,Amalia,L.de,Azevedo,prox.,R.,Ana,Rosa,de,O.,Rossi,(Jd.Guapira/Tremembe),,,,,
1189,86043,R.,Maria,Amalia,L.de,Azevedo,prox.,R.,Ana,Rosa,de,O.,Rossi,(Tremembe/Jd.Guapira),,,,,
