cod_prodam,desc_local,latitude,longitude
2453,Av Carlos Caldeira Filho (Bairro/Centro) a mais 140m da estrada do Campo Limpo,-23.64752199999999900,-46.75782399999999900
2454,Av Carlos Caldeira Filho (Bairro/Centro) a menos 70 metros da R Tulio Mugnaini,-23.65842100000000100,-46.76768100000000300
2455,Avenida Carlos Caldeira Filho (Centro/Bairro) oposto ao numero 2000,-23.64521200000000100,-46.75032399999999900
2456,Avenida Carlos Caldeira Filho (Centro/Bairro) a mais 230 metros do numero 3001,-23.65132500000000000,-46.76070000000000000
2457,Avenida das Nacoes Unidas-Pista Local (Interlagos/Castelo Branco) numero 2312,-23.54746400000000200,-46.73030500000000100
2458,Av Washington Luis (Bairro/Centro) a mais 167m da passarela Com. Rolim A. Amaro,-23.62360800000000100,-46.66154499999999700
2459,Avenida Washington Luis (Centro/Bairro) numero 6831,-23.62365700000000100,-46.66183099999999900
2460,Avenida Jair Ribeiro da Silva(C/B) x Rua Alfredo Ferreira de Carvalho,-23.70485899999999900,-46.68742000000000300
2461,Avenida Jair Ribeiro da Silva(B/C) x Rua Alfredo Ferreira de Carvalho,-23.70504199999999900,-46.68730200000000300
2462,Av Prof Vicente Rao (W. Luis/M. Pinheiros) Nr 1405 - Faixa Exclusiva de Onibus,-23.63595400000000200,-46.67786400000000000
2463,Avenida Professor Vicente Rao (Washington Luis/Marginal Pinheiros) Numero 1405,-23.63595400000000200,-46.67786400000000000
2464,Av Prof Vicente Rao (M. Pinheiros/W. Luis) a mais 140M do N 1262-Fx Excl Onib,-23.63601299999999800,-46.67801330000000300
2465,Av. Professor Vicente Rao (M. Pinheiros/W.Luis) a mais 140M do Numero 1262,-23.63601299999999800,-46.67801330000000300
2466,Av Pirajussara (Centro/Bairro) a mais 70 metros da Av Dr Ezequiel Campos Dias,-23.60140000000000200,-46.74800900000000300
2467,Avenida Morumbi (Ponte Morumbi/Palacio do Governo) numero 5101,-23.60933500000000200,-46.71282600000000000
2468,"Av Morumbi (Ponte Morumbi/Francisco Morato), a menos 20 metros do numero 3555",-23.59974899999999900,-46.70865599999999800
2469,Avenida Interlagos (Bairro/Centro) Numero 2825,-23.67775899999999800,-46.68273500000000100
2470,Avenida Interlagos (Centro/Bairro) Numero 2974,-23.67740399999999900,-46.68287999999999700
2471,"Av Senador Teotonio Vilela (B/C), oposto ao Nr 6680 - Faixa Exclusiva de Onibus",-23.76406899999999900,-46.71628200000000000
2472,"Avenida Senador Teotonio Vilela (Bairro/Centro), oposto ao Número 6680",-23.76406899999999900,-46.71628200000000000
2473,Av Sen Teotonio Vilela (B/C) a menos 48m da Av Pr Joao Goulart-Fx Excl de Onibus,-23.72067099999999900,-46.69784200000000100
2474,Av Senador Teotonio Vilela (B/C) a menos 48 metros da Av Pr Joao Goulart,-23.72067099999999900,-46.69784200000000100
2475,Av Ver João de Luca (Diadema/Marg Pinheiros) Nr 221 -Faixa Exclusiva de Onibus,-23.64601700000000000,-46.67119199999999800
2476,Avenida Vereador Joao de Luca (Diadema/Marginal Pinheiros) Numero 221,-23.64601700000000000,-46.67119199999999800
2477,Estrada de Itapecerica (Bairro/Centro) Numero 779 - Faixa Exclusiva de Onibus,-23.64423899999999900,-46.74296600000000300
2478,Estrada de Itapecerica (Bairro/Centro) Numero 779,-23.64423899999999900,-46.74296600000000300
2479,Estrada de Itapecerica (Centro/Bairro) Numero 1024 - Faixa Exclusiva de Onibus,-23.64426999999999900,-46.74502600000000300
2480,Estrada de Itapecerica (Centro/Bairro) Numero 1024,-23.64426999999999900,-46.74502600000000300
2481,Av Vereador João de Luca (Marg Pinheiros/Diadema) Nr 790 - Fx Excl de Onibus,-23.65087300000000100,-46.66990299999999800
2482,Avenida Vereador Joao de Luca (Marginal Pinheiros/Diadema) Numero 790,-23.65087300000000100,-46.66990299999999800
2483,Av. Vereador José Diniz (Centro/Bairro) a mais 92m da R. Américo Brasiliense,-23.63700100000000100,-46.69363400000000300
2484,Av. Vereador José Diniz (Centro/Bairro) a mais 92m da R. Américo Brasiliense,-23.63700100000000100,-46.69363400000000300
2485,Avenida Senador Teotônio Vilela (Centro/Bairro) Oposto ao Nº 1583,-23.71555300000000000,-46.69912699999999700
2486,Pça. Alexandre Francisco Rebouças a mais 47m da Est. do Alvarenga,-23.69505699999999800,-46.66663700000000100
2487,Pça. Alexandre Francisco Rebouças a mais 47m da Est. do Alvarenga,-23.69505699999999800,-46.66663700000000100
2488,Avenida Morumbi (Francisco Morato/Ponte Morumbi) Numero 2128,-23.59352700000000200,-46.70646700000000300
2489,Avenida Maria Coelho Aguiar,-23.65611500000000000,-46.73588900000000000
2490,Avenida Maria Coelho Aguiar,-23.65611500000000000,-46.73588900000000000
2491,Avenida Dona Belmira Marin - Teste,-23.75563800000000100,-46.67148999999999900
2492,Avenida Dona Belmira Marin - Teste,-23.75563800000000100,-46.67148999999999900
2493,Avenida Sadamu Inouê Nº 2666,-23.79321900000000100,-46.72925200000000300
2494,Avenida Sadamu Inouê Nº 2666,-23.79321900000000100,-46.72925200000000300
2495,"Avenida Carlos Lacerda,  Número 3093",-23.65768800000000000,-46.77574599999999800
2496,"Rua Doutor Luiz Migliano, Número 644",-23.61072700000000100,-46.74491100000000200
2497,"Rua Doutor Luiz Migliano, Número 644",-23.61072700000000100,-46.74491100000000200
2498,"Avenida Rodrigues Montemor, Número 533",-23.66369800000000000,-46.64992800000000300
2499,"Avenida Rodrigues Montemor, Número 533",-23.66369800000000000,-46.64992800000000300
2500,Avenida Pedro Bueno Número 826,-23.63608599999999900,-46.65080600000000300
2501,"Avenida Pedro Bueno (Bairro/Centro), Número 935",-23.63684999999999900,-46.65149699999999900
2502,Avenida Engenheiro Alberto de Zagottis (Centro/Bairro) oposto ao Número 387,-23.67102200000000100,-46.69632699999999700
